Event Name                                                       ,    Lat ,Lng     ,Depth(km), Mag
GCMT_event_PAKISTAN_Mag_6.4_2008-10-29-11                        ,30.3,67.6,12.0,6.4
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_5.5_2007-1-23-4      ,-43.0,41.8,12.0,5.5
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_5.5_2009-11-9-0      ,-43.4,39.7,12.0,5.5
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_5.6_2013-9-6-2       ,-46.8,33.6,17.0,5.6
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_5.7_2007-2-26-23     ,-44.8,35.4,17.0,5.7
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_5.9_2008-5-19-3      ,-47.7,32.2,15.0,5.9
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_6.0_2008-3-13-13     ,-45.3,35.1,22.0,6.0
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_6.0_2009-6-4-17      ,-45.6,35.0,20.0,6.0
GCMT_event_PRINCE_EDWARD_ISLANDS_REGION_Mag_6.3_2013-7-22-7      ,-45.9,34.9,20.0,6.3
GCMT_event_RED_SEA_Mag_5.5_2013-7-8-15                           ,16.8,40.9,13.0,5.5
GCMT_event_SCOTIA_SEA_Mag_5.5_2007-1-15-7                        ,-61.2,-34.0,12.0,5.5
GCMT_event_SCOTIA_SEA_Mag_5.5_2013-11-16-9                       ,-60.6,-46.8,12.0,5.5
GCMT_event_SOUTHEASTERN_AFGHANISTAN_Mag_5.5_2013-4-24-9          ,34.4,70.5,103.0,5.5
GCMT_event_SOUTHEASTERN_AFGHANISTAN_Mag_6.0_2008-10-5-22         ,33.9,69.5,16.0,6.0
GCMT_event_SOUTHEASTERN_UZBEKISTAN_Mag_5.8_2013-5-26-6           ,39.9,67.3,26.0,5.8
GCMT_event_SOUTHERN_GREECE_Mag_5.6_2008-6-21-11                  ,36.1,21.9,12.0,5.6
GCMT_event_SOUTHERN_GREECE_Mag_5.8_2012-4-16-11                  ,36.4,21.4,25.0,5.8
GCMT_event_SOUTHERN_GREECE_Mag_6.2_2008-1-6-5                    ,37.0,22.9,92.0,6.2
GCMT_event_SOUTHERN_GREECE_Mag_6.4_2008-6-8-12                   ,37.9,21.6,24.0,6.4
GCMT_event_SOUTHERN_GREECE_Mag_6.5_2008-2-14-12                  ,36.3,21.7,15.0,6.5
GCMT_event_SOUTHERN_IRAN_Mag_5.5_2013-5-18-10                    ,26.5,57.6,12.0,5.5
GCMT_event_SOUTHERN_IRAN_Mag_5.6_2013-11-28-13                   ,29.2,51.1,13.0,5.6
GCMT_event_SOUTHERN_IRAN_Mag_5.7_2013-4-17-3                     ,27.9,62.4,46.0,5.7
